ProductID,Color,Material,Size,Capacity,Power_W,Voltage,Warranty_Months
1001,White,Plastic,500ml,,250,230V,38
1002,Silver,Steel,750ml,750ml,N/A,220V,41
1003,Silver,,L,1L,,220V,35
1004,Grey,Metal,L,,250,230V,15
1005,Black,Mesh,XL,N/A,250,,16
1006,Grey,,750ml,1L,250,,44
1007,Blue,Mesh,M,N/A,65,230V,15
1008,White,,750ml,,65,110V,37
1009,Silver,Metal,M,,250,110V,30
1010,White,Metal,500ml,750ml,250,220V,26
1011,Blue,Metal,15.6,,,220V,25
1012,,Steel,S,N/A,250,N/A,16
1013,Black,Mesh,,N/A,65,220V,-7
1014,Grey,Metal,XXL,750ml,65,,2
1015,Red,Cotton,15.6,750ml,N/A,230V,36
1016,Red,Mesh,XXL,750ml,120,,28
1017,Blue,Mesh,750ml,500ml,N/A,230V,40
1018,White,Cotton,500ml,500ml,N/A,230V,16
1019,Black,Steel,XXL,500ml,250,N/A,20
1020,Blue,Steel,S,750ml,,230V,30
1021,Blue,,L,1L,N/A,,12
1022,Red,Metal,500ml,500ml,120,N/A,-8
1023,Red,Steel,XL,750ml,,,26
1024,White,Steel,XXL,500ml,N/A,N/A,15
1025,Blue,Plastic,750ml,500ml,65,220V,37
1026,,Cotton,M,N/A,N/A,220V,18
1027,Red,Steel,XXL,500ml,N/A,220V,5
1028,Grey,Mesh,750ml,,,N/A,22
1029,Blue,Steel,750ml,N/A,,,40
1030,Grey,Cotton,L,750ml,65,,2
1031,Blue,Metal,S,750ml,65,220V,25
1032,Red,Steel,M,750ml,65,,-7
1033,Red,,750ml,500ml,120,220V,26
1034,,Plastic,750ml,500ml,65,,-3
1035,White,Steel,M,1L,,N/A,29
1036,Grey,,,500ml,250,230V,-6
1037,Red,Cotton,S,750ml,N/A,,24
1038,Silver,Cotton,750ml,500ml,N/A,N/A,40
1039,Silver,Mesh,XXL,500ml,65,N/A,6
1040,Black,Metal,XL,,N/A,230V,6
1041,Blue,Plastic,S,750ml,,,1
1042,Grey,Metal,L,N/A,120,N/A,-4
1043,Black,Plastic,S,1L,65,N/A,-7
1044,Grey,Cotton,L,500ml,250,N/A,3
1045,White,Metal,XL,1L,N/A,N/A,-3
1046,White,Metal,L,N/A,N/A,110V,31
1047,Black,,15.6,,65,230V,5
1048,White,Plastic,XL,1L,65,,-3
1049,Red,Steel,XL,750ml,N/A,220V,35
1050,,Metal,L,500ml,250,N/A,-2
1051,Black,Plastic,S,750ml,120,110V,13
1052,Black,Plastic,750ml,1L,N/A,230V,5
1053,Silver,Plastic,500ml,500ml,65,230V,0
1054,Black,Mesh,S,500ml,120,N/A,-11
1055,Red,Plastic,,N/A,,,2
1056,Blue,Plastic,500ml,,250,N/A,37
1057,,Plastic,15.6,N/A,65,,20
1058,,Plastic,15.6,1L,250,,27
1059,Black,Mesh,750ml,1L,65,230V,17
1060,,Metal,L,N/A,,220V,25
1061,Silver,Metal,,,N/A,N/A,17
1062,Red,Cotton,,500ml,N/A,220V,33
1063,,Cotton,XL,1L,N/A,220V,46
1064,Blue,Metal,L,500ml,,230V,33
1065,Red,Metal,L,,65,N/A,-1
1066,Blue,Cotton,XXL,500ml,120,230V,27
1067,White,Metal,XXL,,250,220V,46
1068,Grey,Mesh,XXL,500ml,,220V,11
1069,Silver,Steel,XXL,500ml,,230V,40
1070,Grey,,XL,750ml,,110V,2
1071,Red,Cotton,750ml,,65,230V,-3
1072,White,Mesh,XXL,,N/A,N/A,24
1073,White,Cotton,M,N/A,N/A,,-2
1074,,Steel,L,1L,,,-12
1075,White,Cotton,XL,750ml,,N/A,2
1076,Silver,Cotton,XXL,N/A,,,30
1077,Red,Steel,750ml,750ml,,220V,-4
1078,Blue,Plastic,L,1L,65,220V,35
1079,Blue,Mesh,M,1L,N/A,,33
1080,Grey,,750ml,1L,,,45
1081,Silver,Mesh,XXL,N/A,250,N/A,21
1082,Black,,XXL,N/A,,230V,22
1083,Blue,Metal,XL,1L,250,N/A,10
1084,Grey,,XL,750ml,250,N/A,31
1085,Black,Mesh,L,750ml,65,230V,16
1086,Black,,XL,500ml,250,230V,47
1087,,Mesh,15.6,,250,,8
1088,White,,15.6,N/A,250,110V,10
1089,Silver,Mesh,XXL,1L,,230V,19
1090,White,,L,N/A,250,110V,0
1091,White,Cotton,S,N/A,65,N/A,21
1092,,Metal,S,,250,N/A,-8
1093,Grey,Metal,S,750ml,65,110V,-12
1094,White,Cotton,M,500ml,120,230V,9
1095,White,Steel,750ml,N/A,250,220V,26
1096,Silver,,XL,500ml,,110V,47
1097,Blue,Plastic,M,1L,250,230V,46
1098,Blue,Cotton,XL,500ml,N/A,220V,24
1099,Grey,Metal,XXL,N/A,120,,21
1100,,,S,1L,120,230V,39
1101,Blue,Steel,XXL,,,220V,35
1102,Red,Mesh,500ml,500ml,N/A,110V,16
1103,White,Plastic,S,500ml,N/A,,45
1104,Red,Metal,15.6,,N/A,,0
1105,Red,Steel,,750ml,N/A,N/A,20
1106,Grey,Metal,M,N/A,65,230V,27
1107,Red,Steel,750ml,,,220V,11
1108,Silver,Metal,M,,250,,5
1109,Black,Steel,L,750ml,250,,29
1110,Silver,Steel,,,120,N/A,45
1111,White,Steel,L,,,220V,16
1112,Grey,Plastic,,N/A,,,36
1113,Black,,15.6,500ml,65,N/A,18
1114,Red,Mesh,500ml,500ml,N/A,110V,44
1115,Blue,Mesh,S,1L,65,230V,29
1116,Grey,Cotton,15.6,500ml,65,220V,0
1117,,Steel,750ml,1L,N/A,220V,41
1118,Grey,Metal,XXL,N/A,250,230V,-4
1119,Black,Steel,M,1L,N/A,,5
1120,Blue,Steel,S,500ml,,220V,19
1121,White,Plastic,500ml,500ml,,220V,10
1122,Black,Metal,S,750ml,65,,45
1123,Grey,,XL,750ml,,110V,8
1124,Black,Steel,M,500ml,N/A,230V,28
1125,Silver,Plastic,XL,500ml,65,,47
1126,,Metal,750ml,750ml,N/A,220V,11
1127,Black,Steel,S,750ml,,N/A,3
1128,Black,Steel,,750ml,250,230V,24
1129,Blue,Metal,500ml,N/A,120,230V,19
1130,White,Plastic,,750ml,,,41
1131,Black,Steel,XL,750ml,120,N/A,-1
1132,Black,Plastic,M,1L,250,230V,20
1133,Red,Steel,15.6,N/A,250,,24
1134,Black,Mesh,750ml,750ml,65,230V,6
1135,White,,XXL,1L,N/A,220V,15
1136,Grey,Mesh,L,,65,110V,33
1137,Blue,Steel,L,750ml,250,220V,28
1138,Black,Cotton,750ml,N/A,120,230V,4
1139,,Steel,S,,65,N/A,37
1140,Black,Metal,500ml,500ml,65,,44
1141,Blue,Metal,L,750ml,120,,41
1142,Grey,Steel,XL,1L,,N/A,33
1143,Black,Plastic,L,1L,65,N/A,-6
1144,,Plastic,15.6,,250,110V,27
1145,,Metal,750ml,500ml,250,,2
1146,Black,Cotton,750ml,750ml,250,,4
1147,Blue,Cotton,500ml,750ml,250,N/A,10
1148,Red,,,500ml,120,230V,42
1149,Blue,Mesh,M,1L,N/A,,6
1150,White,,L,750ml,,220V,27
1151,,Plastic,L,1L,N/A,N/A,26
1152,Black,Cotton,XL,N/A,,N/A,46
1153,Silver,Metal,XXL,,N/A,230V,47
1154,Grey,Plastic,M,N/A,N/A,N/A,8
1155,Silver,Cotton,L,,120,230V,23
1156,,Mesh,L,N/A,250,230V,29
1157,Blue,,15.6,1L,N/A,N/A,36
1158,Red,Steel,750ml,1L,,220V,41
1159,,Plastic,15.6,,120,N/A,31
1160,,Cotton,M,N/A,120,N/A,33
1161,Black,Mesh,XL,500ml,N/A,,17
1162,Grey,Cotton,15.6,1L,120,,-12
1163,Blue,Plastic,750ml,500ml,250,N/A,16
1164,,Mesh,500ml,1L,65,230V,0
1165,Black,Cotton,,500ml,,230V,33
1166,,Plastic,500ml,750ml,250,110V,15
1167,Black,Plastic,S,1L,65,110V,-9
1168,Black,Plastic,750ml,750ml,65,110V,43
1169,Blue,Cotton,L,N/A,120,,0
1170,Silver,,15.6,,,110V,35
1171,Black,Plastic,15.6,,120,,18
1172,Black,Steel,500ml,500ml,120,220V,42
1173,Silver,,,750ml,250,220V,-4
1174,Black,Mesh,XXL,500ml,250,N/A,37
1175,White,Steel,M,500ml,250,,45
1176,White,,S,,,220V,20
1177,Red,Steel,S,,N/A,N/A,39
1178,Silver,Steel,500ml,1L,65,220V,-3
1179,Grey,Mesh,500ml,N/A,,220V,3
1180,White,Steel,M,,250,,45
1181,Blue,Mesh,L,750ml,,230V,23
1182,Grey,Metal,,500ml,,N/A,2
1183,Grey,Metal,XL,500ml,65,220V,15
1184,Black,,500ml,,250,110V,28
1185,Red,Plastic,15.6,1L,,110V,3
1186,Blue,Cotton,750ml,,,N/A,11
1187,Blue,Cotton,L,750ml,120,,26
1188,Blue,Plastic,M,N/A,120,,11
1189,Silver,Plastic,XL,,65,,25
1190,Grey,,500ml,750ml,N/A,N/A,35
1191,Silver,,M,500ml,N/A,110V,29
1192,Grey,Steel,S,1L,120,220V,-1
1193,Blue,,750ml,750ml,120,230V,12
1194,Black,,750ml,1L,120,,-7
1195,Black,Mesh,15.6,500ml,120,230V,41
1196,Black,Plastic,,750ml,N/A,N/A,-11
1197,Blue,Metal,S,500ml,N/A,230V,43
1198,Grey,Steel,XL,1L,,220V,27
1199,Red,Metal,XL,N/A,120,,42
1200,White,Mesh,XL,500ml,250,220V,39
1201,White,,,750ml,250,N/A,12
1202,Red,Plastic,L,750ml,250,110V,-10
1203,Black,Steel,,500ml,250,N/A,47
1204,Black,,XL,N/A,,220V,0
1205,Grey,Steel,S,,65,230V,5
1206,Silver,Plastic,,,120,110V,25
1207,,Plastic,,500ml,120,230V,-6
1208,Red,Cotton,500ml,750ml,,110V,14
1209,White,Plastic,,,250,230V,20
1210,Grey,Plastic,750ml,500ml,65,110V,8
1211,Black,,XL,N/A,250,230V,27
1212,,Cotton,XXL,1L,,N/A,1
1213,Blue,,S,500ml,250,220V,9
1214,Silver,Mesh,15.6,500ml,N/A,220V,46
1215,Black,Mesh,,750ml,250,110V,25
1216,,,15.6,500ml,65,220V,16
1217,,,500ml,500ml,65,N/A,1
1218,White,Plastic,XXL,750ml,65,220V,30
1219,Silver,Cotton,XL,750ml,,N/A,-10
1220,Red,Plastic,M,750ml,65,110V,5
1221,,Cotton,15.6,1L,65,220V,45
1222,Grey,Steel,750ml,1L,250,110V,22
1223,Red,Steel,XL,,250,110V,1
1224,Silver,Steel,S,,,220V,42
1225,Black,Cotton,500ml,500ml,250,,15
1226,White,,XL,,65,230V,27
1227,White,,15.6,,,110V,47
1228,Grey,Plastic,,,N/A,220V,43
1229,Grey,Steel,XXL,500ml,120,,11
1230,Silver,Metal,750ml,N/A,65,N/A,-10
1231,White,Mesh,M,750ml,250,220V,40
1232,Grey,Plastic,S,500ml,65,230V,6
1233,White,Steel,XXL,1L,,N/A,25
1234,Red,Mesh,500ml,750ml,N/A,N/A,3
1235,Silver,Metal,XL,750ml,120,N/A,-9
1236,White,Cotton,15.6,500ml,250,230V,6
1237,Blue,Metal,15.6,N/A,N/A,220V,31
1238,Silver,Mesh,,750ml,250,110V,21
1239,Blue,Cotton,,,120,,45
1240,White,Mesh,S,N/A,,230V,11
1241,Silver,Metal,500ml,N/A,120,N/A,18
1242,Red,,500ml,1L,,220V,11
1243,White,Plastic,XL,1L,250,230V,33
1244,Black,Mesh,750ml,,,N/A,29
1245,,Mesh,XL,1L,N/A,110V,24
1246,Red,Steel,M,750ml,250,220V,5
1247,Red,,XL,,250,,3
1248,Black,Plastic,XL,N/A,120,220V,39
1249,White,Mesh,M,1L,N/A,,47
1250,Silver,Metal,L,750ml,,110V,19
1251,,Cotton,L,1L,120,110V,0
1252,White,Plastic,500ml,,,220V,36
1253,Black,Cotton,S,,250,N/A,34
1254,Blue,,,N/A,120,N/A,39
1255,Silver,Cotton,500ml,N/A,120,N/A,32
1256,Blue,,750ml,N/A,N/A,110V,9
1257,Red,Steel,500ml,,N/A,220V,18
1258,Grey,Plastic,XXL,500ml,65,N/A,29
1259,Blue,Plastic,750ml,750ml,250,110V,17
1260,Grey,Cotton,15.6,N/A,65,110V,42
1261,Blue,Plastic,M,,250,,30
1262,Grey,Mesh,XL,N/A,120,,1
1263,Grey,Steel,S,750ml,120,110V,-1
1264,,Steel,750ml,1L,N/A,220V,11
1265,White,Cotton,XXL,N/A,250,,-7
1266,Red,,,N/A,65,N/A,14
1267,Silver,,,N/A,250,230V,28
1268,,Cotton,XL,1L,N/A,230V,9
1269,Silver,Plastic,L,,,,33
1270,,Cotton,XXL,,250,N/A,20
1271,Silver,Mesh,L,500ml,250,110V,0
1272,Grey,Cotton,S,500ml,N/A,220V,36
1273,Blue,,15.6,1L,250,,4
1274,White,Mesh,,500ml,120,230V,22
1275,Silver,Steel,500ml,1L,120,220V,-8
1276,Red,Plastic,15.6,,,,46
1277,Blue,,,N/A,,N/A,29
1278,,Metal,S,,N/A,230V,31
1279,Grey,Metal,500ml,N/A,,110V,4
1280,Grey,Cotton,L,750ml,65,220V,6
1281,Blue,,S,,N/A,230V,-5
1282,Silver,,XXL,,120,230V,9
1283,Blue,Metal,XL,N/A,N/A,110V,-3
1284,Silver,Metal,500ml,N/A,N/A,,-5
1285,Silver,Plastic,XL,500ml,65,N/A,27
1286,,Steel,XXL,1L,N/A,230V,7
1287,Blue,Steel,750ml,500ml,250,N/A,-2
1288,White,Mesh,S,,250,220V,11
1289,Silver,Cotton,750ml,N/A,N/A,,-5
1290,White,Cotton,XXL,N/A,250,N/A,44
1291,Red,,15.6,,N/A,220V,11
1292,Black,Cotton,L,1L,65,110V,-3
1293,Blue,Mesh,750ml,750ml,250,220V,17
1294,Silver,Mesh,,,120,,16
1295,Grey,Mesh,,N/A,,220V,44
1296,,Steel,M,,120,220V,28
1297,Black,Mesh,M,N/A,250,220V,-5
1298,White,Metal,XXL,,N/A,,31
1299,Grey,,S,,65,220V,-8
1300,Black,,L,N/A,120,110V,46
1301,Blue,Cotton,15.6,1L,250,110V,24
1302,Black,Cotton,XXL,500ml,120,230V,9
1303,,,L,1L,250,110V,43
1304,,Plastic,,500ml,65,230V,37
1305,Black,Steel,XXL,1L,N/A,,-11
1306,Red,Cotton,S,500ml,120,110V,1
1307,Grey,Cotton,M,1L,65,110V,36
1308,White,,S,1L,250,,31
1309,Black,Cotton,,,N/A,,26
1310,Black,Plastic,500ml,,N/A,N/A,32
1311,Silver,Cotton,500ml,1L,,,44
1312,Black,,,500ml,,,11
1313,White,Mesh,M,750ml,,230V,41
1314,White,Cotton,500ml,N/A,120,230V,14
1315,Black,Metal,XXL,,65,N/A,29
1316,Blue,Metal,15.6,1L,N/A,,-10
1317,Grey,Cotton,,,,,10
1318,White,Plastic,S,500ml,250,,-10
1319,Grey,Cotton,S,750ml,65,,39
1320,Silver,Metal,S,500ml,120,110V,9
1321,Grey,Plastic,,N/A,N/A,230V,-3
1322,Red,Cotton,XXL,500ml,250,,23
1323,Silver,Cotton,S,1L,250,,22
1324,Black,,15.6,,250,,46
1325,Silver,Mesh,15.6,500ml,65,110V,35
1326,,Steel,S,N/A,120,110V,46
1327,Blue,,M,500ml,,,10
1328,Grey,,500ml,500ml,250,220V,11
1329,Red,Steel,XL,500ml,250,110V,44
1330,Grey,Cotton,XL,,N/A,220V,-7
1331,Red,Steel,750ml,1L,120,230V,7
1332,Red,Steel,500ml,750ml,120,,22
1333,Black,Cotton,15.6,1L,120,N/A,-8
1334,Red,Steel,L,1L,250,N/A,36
1335,Blue,Steel,500ml,N/A,N/A,,43
1336,Red,Mesh,750ml,1L,120,110V,5
1337,Grey,Plastic,750ml,750ml,65,220V,2
1338,,Cotton,S,1L,65,230V,23
1339,White,Steel,M,500ml,65,N/A,-8
1340,Blue,Metal,XL,1L,N/A,110V,-11
1341,Red,,M,N/A,65,220V,37
1342,White,Cotton,750ml,N/A,65,230V,-8
1343,Grey,Steel,L,1L,65,,35
1344,Blue,Plastic,15.6,N/A,120,N/A,38
1345,Blue,Mesh,XL,1L,65,110V,46
1346,Red,Steel,15.6,N/A,,230V,5
1347,White,Cotton,S,N/A,65,,6
1348,White,Steel,XXL,,,220V,35
1349,Red,,XXL,,65,220V,4
1350,White,Steel,L,1L,65,,19
1351,,Plastic,750ml,1L,250,220V,20
1352,Grey,Cotton,XXL,500ml,250,,21
1353,Grey,Steel,XXL,N/A,N/A,230V,5
1354,Blue,Metal,S,750ml,65,220V,-2
1355,Grey,Metal,S,750ml,,N/A,46
1356,White,Plastic,XXL,750ml,N/A,220V,-10
1357,Silver,Mesh,500ml,,120,110V,24
1358,Black,Mesh,XL,N/A,65,110V,8
1359,Red,Metal,,,N/A,220V,18
1360,Grey,Plastic,L,500ml,250,220V,17
1361,Black,,XXL,N/A,N/A,N/A,12
1362,Blue,Steel,500ml,500ml,N/A,N/A,31
1363,Blue,Plastic,L,750ml,,110V,21
1364,,Cotton,500ml,,250,230V,41
1365,Red,Cotton,S,N/A,120,110V,-7
1366,Grey,Plastic,XL,500ml,250,230V,28
1367,Blue,Mesh,15.6,750ml,,110V,8
1368,White,Steel,L,750ml,N/A,110V,44
1369,Black,Mesh,XL,,,230V,14
1370,Grey,Mesh,15.6,N/A,N/A,N/A,3
1371,Black,Plastic,,N/A,65,N/A,8
1372,Grey,Cotton,500ml,,120,N/A,0
1373,Grey,Plastic,750ml,1L,120,110V,14
1374,Blue,,,500ml,,230V,19
1375,,Cotton,15.6,N/A,,230V,43
1376,Black,Steel,XXL,500ml,,220V,27
1377,Black,Metal,750ml,750ml,120,N/A,21
1378,Silver,,750ml,1L,120,220V,9
1379,Red,,S,500ml,,N/A,10
1380,Blue,Plastic,XXL,500ml,250,230V,4
1381,Red,Cotton,S,750ml,N/A,110V,-10
1382,Black,Plastic,,1L,N/A,N/A,16
1383,Silver,,L,750ml,65,,-2
1384,Blue,,750ml,1L,N/A,,40
1385,Blue,Cotton,,500ml,N/A,220V,6
1386,Blue,Cotton,XXL,500ml,120,,43
1387,Blue,Mesh,XL,N/A,120,230V,37
1388,Blue,Metal,15.6,,65,230V,22
1389,,Mesh,S,N/A,250,230V,0
1390,Red,Plastic,S,N/A,,220V,-1
1391,Red,Mesh,,750ml,120,,-6
1392,Grey,Metal,500ml,N/A,N/A,N/A,34
1393,Red,Mesh,,N/A,65,N/A,20
1394,Black,Metal,M,750ml,,220V,42
1395,Silver,Metal,M,500ml,,230V,19
1396,Grey,Metal,750ml,1L,N/A,,41
1397,Grey,Mesh,L,500ml,65,N/A,0
1398,White,Cotton,M,750ml,120,230V,25
1399,Silver,Mesh,M,N/A,120,230V,39
1400,Grey,Cotton,15.6,N/A,N/A,220V,11
1401,Black,Plastic,L,500ml,,230V,9
1402,Grey,Metal,,N/A,250,N/A,34
1403,White,Mesh,M,750ml,N/A,,7
1404,Blue,Metal,,1L,120,,39
1405,Red,Cotton,L,N/A,N/A,,40
1406,White,Cotton,,500ml,,,-5
1407,White,Metal,500ml,,120,N/A,-8
1408,Red,Mesh,M,500ml,120,N/A,24
1409,Black,Metal,XL,,120,220V,14
1410,Grey,Steel,,750ml,,,22
1411,Silver,,XL,N/A,,110V,-8
1412,Blue,Mesh,750ml,,65,110V,0
1413,Grey,Metal,750ml,1L,,,43
1414,Silver,,15.6,500ml,N/A,230V,21
1415,Blue,Plastic,S,1L,65,,-2
1416,Grey,Metal,XXL,,120,N/A,10
1417,Blue,,15.6,500ml,250,N/A,17
1418,Red,Steel,500ml,N/A,,N/A,32
1419,Silver,Metal,S,750ml,N/A,N/A,24
1420,Silver,Mesh,,,65,,31
1421,White,Plastic,15.6,1L,N/A,110V,10
1422,,,,,120,230V,-4
1423,Red,Cotton,S,1L,250,,22
1424,,Mesh,L,N/A,250,,-2
1425,Silver,,15.6,500ml,N/A,110V,16
1426,Black,,XXL,N/A,N/A,110V,-3
1427,Red,Plastic,XL,500ml,65,230V,-6
1428,Grey,Plastic,500ml,,120,230V,36
1429,,Plastic,500ml,750ml,65,110V,3
1430,Black,,XXL,500ml,120,110V,19
1431,Grey,Mesh,XXL,,N/A,,29
1432,Grey,Metal,500ml,,120,N/A,44
1433,,Steel,L,1L,,230V,42
1434,White,Cotton,15.6,N/A,,220V,3
1435,White,Metal,XL,500ml,,N/A,41
1436,Blue,Cotton,XL,1L,65,N/A,41
1437,Red,Mesh,M,1L,65,,21
1438,,Steel,,N/A,,230V,11
1439,,Plastic,,,120,,17
1440,Grey,Mesh,M,750ml,65,110V,-1
1441,Black,Mesh,15.6,,250,,32
1442,,Steel,XL,1L,N/A,N/A,7
1443,White,Plastic,M,1L,N/A,110V,-9
1444,Blue,Plastic,L,N/A,N/A,220V,43
1445,Blue,,500ml,500ml,N/A,N/A,14
1446,Grey,Mesh,750ml,,N/A,N/A,24
1447,,Cotton,15.6,1L,65,220V,6
1448,Silver,,,N/A,65,,34
1449,Blue,,XL,N/A,,230V,-6
1450,,Mesh,M,750ml,250,,-11
1451,Blue,,15.6,500ml,,N/A,-7
1452,Blue,Steel,M,1L,250,220V,22
