ProductID,ProductName,Category,SubCategory,Brand,UOM,Length_cm,Width_cm,Height_cm,Weight_kg,Price,CountryOfOrigin,Barcode
1001,Product-0,Apparel,Men,WissenTech,PR,139,118,131,11.406860484272212,21662,Germany,1.62684E+12
1002,Product-1,Appliances,Bottles,WissenTech,KG,66,148,-1,6.274001814155059,9702,USA,6.20603E+12
1003,Product-2,Appliances,Pants,HeatPro,KG,86,93,66,6.376870485395735,9291,Germany,9.61855E+12
1004,Product-3,Appliances,Pants,WissenTech,LT,44,109,30,10.472260169328315,41008,INd,2.70081E+12
1005,Product-4,Apparel,Containers,HeatPro,EA,89,58,33,11.535832701779835,10984,USA,7.59311E+12
1006,Product-5,Appliances,Pants,HeatPro,LT,121,131,1,7.560689646,410,Thailand,2.14043E+12
1007,Product-6,Electronics,Men,WearMax,PR,-1,117,87,1.7534258394228708,46113,India,6.95633E+12
1008,Product-7,Appliances,Bottles,Wissen,EA,141,92,35,6.262149939387208,20874,Thailand,
1009,Product-8,Kitchenware,Pants,FastRun,LT,125,41,65,0.5820245649264755,59708,Thailand,3.45374E+12
1010,Product-9,Appliances,Women,HomePro,LT,108,60,82,10.942374091711912,44188,USA,9.45429E+12
1011,Product-10,Apparel,Women,WissenTech,EA,88,79,30,-0.231829948,12951,Thailand,1.49826E+12
1012,Product-11,Footwear,Appliances,WearMax,KG,9,74,12,6.171644279827107,37094,India,
1013,Product-12,Appliances,Appliances,FastRun,KG,102,62,58,-0.40014191,3913,Germany,8.2971E+12
1014,Product-13,Appliances,Women,HomePro,PR,65,72,138,3.0442611450831984,51211,Thailand,8.3443E+12
1015,Product-14,Footwear,Pants,FastRun,KG,130,146,84,11.818825269249352,54474,Germany,7.2583E+12
1016,Product-15,Electronics,Laptops,FastRun,KG,80,121,134,11.777519010601136,18985,USA,9.02059E+12
1017,Product-16,Appliances,Tops,Wissen,KG,111,28,99,8.833029205789682,42078,Germany,5.31191E+12
1018,Product-17,Kitchenware,Men,FastRun,PR,126,65,13,10.118860123330139,16730,India,9.12744E+12
1019,Product-18,Electronics,Women,HomePro,LT,45,54,23,10.17729158727602,14189,Thailand,2.63017E+12
1020,Product-19,Footwear,Tops,HeatPro,PR,11,117,108,8.488295410191803,36506,Thailand,6.57008E+12
1021,Product-20,Appliances,Bottles,Wissen,EA,115,110,135,1.1058097165739391,25038,Thailand,3.65495E+12
1022,Product-21,Apparel,Shoes,HeatPro,EA,145,58,84,2.337150579894792,47088,India,8.17161E+12
1023,Product-22,Apparel,Appliances,HeatPro,LT,129,12,37,9.568486623216701,34548,INd,1.08404E+12
1024,Product-23,Apparel,Containers,WearMax,PR,149,33,114,-0.561117697,53155,China,9.41636E+12
1025,Product-24,Electronics,Men,WearMax,KG,72,-5,142,6.6770833171779085,4371,China,
1026,Product-25,Electronics,Shoes,HeatPro,LT,143,107,111,4.453626480823501,37604,Germany,4.35332E+12
1027,Product-26,Footwear,Bottles,FastRun,LT,109,0,10,5.551582992,46931,Germany,1.08439E+12
1028,Product-27,Storage,Laptops,HomePro,KG,16,117,65,9.781891115394336,24412,INd,1.71905E+12
1029,Product-28,Footwear,Women,HomePro,EA,92,130,102,9.590610746912636,25129,Thailand,8.56424E+12
1030,Product-29,Footwear,Containers,FastRun,KG,24,-1,12,10.31677030057133,3735,INd,2.2062E+12
1031,Product-30,Electronics,Laptops,WearMax,EA,42,64,26,7.913765821,5083,Germany,2.51061E+12
1032,Product-31,Kitchenware,Women,Wissen,EA,22,59,124,9.037039470850907,22447,USA,2.66516E+12
1033,Product-32,Storage,Containers,WissenTech,LT,23,2,109,7.282758699584889,43847,USA,4.76091E+12
1034,Product-33,Electronics,Tops,WearMax,EA,89,42,41,5.171920300938173,54045,USA,1.97211E+12
1035,Product-34,Appliances,Pants,WearMax,PR,82,48,45,-0.457397797,41834,USA,7.04758E+12
