transaction_id,account_id,transaction_date,transaction_type,amount,currency,status,source_system
TXN0000001,ACC000001,1/2/2024,CREDIT,1001.25,USD,COMPLETED,ERP_CORE
TXN0000002,ACC000002,1/3/2024,DEBIT,1002.5,USD,COMPLETED,ERP_CORE
TXN0000003,ACC000003,1/4/2024,CREDIT,1003.75,USD,COMPLETED,ERP_CORE
TXN0000004,ACC000004,1/5/2024,DEBIT,1005.0,USD,COMPLETED,ERP_CORE
TXN0000005,ACC000005,1/6/2024,CREDIT,1006.25,USD,COMPLETED,ERP_CORE
TXN0000006,ACC000006,1/7/2024,DEBIT,1007.5,USD,COMPLETED,ERP_CORE
TXN0000007,ACC000007,1/8/2024,CREDIT,1008.75,USD,COMPLETED,ERP_CORE
TXN0000008,ACC000008,1/9/2024,DEBIT,1010.0,USD,COMPLETED,ERP_CORE
TXN0000009,ACC000009,1/10/2024,CREDIT,1011.25,USD,COMPLETED,ERP_CORE
TXN0000010,ACC000010,1/11/2024,DEBIT,1012.5,USD,COMPLETED,ERP_CORE
TXN0000011,ACC000011,1/12/2024,CREDIT,1013.75,USD,COMPLETED,ERP_CORE
TXN0000012,ACC000012,1/13/2024,DEBIT,1015.0,USD,COMPLETED,ERP_CORE
TXN0000013,ACC000013,1/14/2024,CREDIT,1016.25,USD,COMPLETED,ERP_CORE
TXN0000014,ACC000014,1/15/2024,DEBIT,1017.5,USD,COMPLETED,ERP_CORE
TXN0000015,ACC000015,1/16/2024,CREDIT,1018.75,USD,COMPLETED,ERP_CORE
