transaction_id,account_id,transaction_date,transaction_type,amount,currency,status,source_system
TXN0000001,ACC000001,1/2/2024,CREDIT,1001.25,USD,COMPLETED,ERP_CORE
TXN0000002,ACC000002,1/3/2024,DEBIT,1002.5,USD,COMPLETED,ERP_CORE
TXN0000003,ACC000003,1/4/2024,CREDIT,1003.75,USD,COMPLETED,ERP_CORE
TXN0000004,ACC000004,1/5/2024,DEBIT,1005,USD,COMPLETED,ERP_CORE
TXN0000005,ACC000005,1/6/2024,CREDIT,1006.25,USD,COMPLETED,ERP_CORE
TXN0000006,ACC000006,1/7/2024,DEBIT,1007.5,USD,COMPLETED,ERP_CORE
TXN0000007,ACC000007,1/8/2024,CREDIT,1008.75,USD,COMPLETED,ERP_CORE
TXN0000008,ACC000008,1/9/2024,DEBIT,1010,USD,COMPLETED,ERP_CORE
TXN0000009,ACC000009,1/10/2024,CREDIT,1011.25,USD,COMPLETED,ERP_CORE
TXN0000010,ACC000010,1/11/2024,DEBIT,1012.5,USD,COMPLETED,ERP_CORE
TXN0000011,ACC000011,1/12/2024,CREDIT,1013.75,USD,COMPLETED,ERP_CORE
TXN0000012,ACC000012,1/13/2024,DEBIT,1015,USD,COMPLETED,ERP_CORE
TXN0000013,ACC000013,1/14/2024,CREDIT,1016.25,USD,COMPLETED,ERP_CORE
TXN0000014,ACC000014,1/15/2024,DEBIT,1017.5,USD,COMPLETED,ERP_CORE
TXN0000015,ACC000015,1/16/2024,CREDIT,1018.75,USD,COMPLETED,ERP_CORE
TXN0000016,ACC000016,1/17/2024,DEBIT,1020,USD,COMPLETED,ERP_CORE
TXN0000017,ACC000017,1/18/2024,CREDIT,1021.25,USD,COMPLETED,ERP_CORE
TXN0000018,ACC000018,1/19/2024,DEBIT,1022.5,USD,COMPLETED,ERP_CORE
TXN0000019,ACC000019,1/20/2024,CREDIT,1023.75,USD,COMPLETED,ERP_CORE
TXN0000020,ACC000020,1/21/2024,DEBIT,1025,USD,COMPLETED,ERP_CORE
TXN0000021,ACC000021,1/22/2024,CREDIT,1026.25,USD,COMPLETED,ERP_CORE
TXN0000022,ACC000022,1/23/2024,DEBIT,1027.5,USD,COMPLETED,ERP_CORE
TXN0000023,ACC000023,1/24/2024,CREDIT,1028.75,USD,COMPLETED,ERP_CORE
TXN0000024,ACC000024,1/25/2024,DEBIT,1030,USD,COMPLETED,ERP_CORE
TXN0000025,ACC000025,1/26/2024,CREDIT,1031.25,USD,COMPLETED,ERP_CORE
TXN0000026,ACC000026,1/27/2024,DEBIT,1032.5,USD,COMPLETED,ERP_CORE
TXN0000027,ACC000027,1/28/2024,CREDIT,1033.75,USD,COMPLETED,ERP_CORE
TXN0000028,ACC000028,1/29/2024,DEBIT,1035,USD,COMPLETED,ERP_CORE
TXN0000029,ACC000029,1/30/2024,CREDIT,1036.25,USD,COMPLETED,ERP_CORE
TXN0000030,ACC000030,1/31/2024,DEBIT,1037.5,USD,COMPLETED,ERP_CORE
TXN0000031,ACC000031,2/1/2024,CREDIT,1038.75,USD,COMPLETED,ERP_CORE
TXN0000032,ACC000032,2/2/2024,DEBIT,1040,USD,COMPLETED,ERP_CORE
TXN0000033,ACC000033,2/3/2024,CREDIT,1041.25,USD,COMPLETED,ERP_CORE
TXN0000034,ACC000034,2/4/2024,DEBIT,1042.5,USD,COMPLETED,ERP_CORE
TXN0000035,ACC000035,2/5/2024,CREDIT,1043.75,USD,COMPLETED,ERP_CORE
TXN0000036,ACC000036,2/6/2024,DEBIT,1045,USD,COMPLETED,ERP_CORE
TXN0000037,ACC000037,2/7/2024,CREDIT,1046.25,USD,COMPLETED,ERP_CORE
TXN0000038,ACC000038,2/8/2024,DEBIT,1047.5,USD,COMPLETED,ERP_CORE
TXN0000039,ACC000039,2/9/2024,CREDIT,1048.75,USD,COMPLETED,ERP_CORE
TXN0000040,ACC000040,2/10/2024,DEBIT,1050,USD,COMPLETED,ERP_CORE
TXN0000041,ACC000041,2/11/2024,CREDIT,1051.25,USD,COMPLETED,ERP_CORE
TXN0000042,ACC000042,2/12/2024,DEBIT,1052.5,USD,COMPLETED,ERP_CORE
TXN0000043,ACC000043,2/13/2024,CREDIT,1053.75,USD,COMPLETED,ERP_CORE
TXN0000044,ACC000044,2/14/2024,DEBIT,1055,USD,COMPLETED,ERP_CORE
TXN0000045,ACC000045,2/15/2024,CREDIT,1056.25,USD,COMPLETED,ERP_CORE
TXN0000046,ACC000046,2/16/2024,DEBIT,1057.5,USD,COMPLETED,ERP_CORE
TXN0000047,ACC000047,2/17/2024,CREDIT,1058.75,USD,COMPLETED,ERP_CORE
TXN0000048,ACC000048,2/18/2024,DEBIT,1060,USD,COMPLETED,ERP_CORE
TXN0000049,ACC000049,2/19/2024,CREDIT,1061.25,USD,COMPLETED,ERP_CORE
TXN0000050,ACC000050,2/20/2024,DEBIT,1062.5,USD,COMPLETED,ERP_CORE
TXN0000051,ACC000051,2/21/2024,CREDIT,1063.75,USD,COMPLETED,ERP_CORE
TXN0000052,ACC000052,2/22/2024,DEBIT,1065,USD,COMPLETED,ERP_CORE
TXN0000053,ACC000053,2/23/2024,CREDIT,1066.25,USD,COMPLETED,ERP_CORE
TXN0000054,ACC000054,2/24/2024,DEBIT,1067.5,USD,COMPLETED,ERP_CORE
TXN0000055,ACC000055,2/25/2024,CREDIT,1068.75,USD,COMPLETED,ERP_CORE
TXN0000056,ACC000056,2/26/2024,DEBIT,1070,USD,COMPLETED,ERP_CORE
TXN0000057,ACC000057,2/27/2024,CREDIT,1071.25,USD,COMPLETED,ERP_CORE
